@RELATION player

@ATTRIBUTE proteccion         {baja,media,alta}
@ATTRIBUTE gv_proteccion      NUMERIC
@ATTRIBUTE distancia_ja       {pequena,media,grande}
@ATTRIBUTE gv_distancia_ja    NUMERIC
@ATTRIBUTE cercania           {"mucho mas cerca","mas cerca","mas lejos","mucho mas lejos"}
@ATTRIBUTE gv_cercania_jr      NUMERIC
@ATTRIBUTE accion             {"seguir adelante",evadir}

@DATA
media,0.5629208754208755,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7275763358778627,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7573689956331877,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7417929292929293,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7646276595744681,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7812500000000001,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.7262323943661974,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.873940677966102,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5208333333333333,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5514705882352944,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,1.0,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
media,0.5208333333333333,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.7395833333333331,grande,1.0,"mucho mas cerca",1.0,evadir
media,0.5208333333333333,grande,1.0,"mucho mas cerca",1.0,evadir
baja,0.7395833333333331,grande,1.0,"mucho mas cerca",1.0,"seguir adelante"
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",1.0,evadir
baja,1.0,grande,1.0,"mucho mas cerca",0.75,"seguir adelante"
baja,0.8579545454545455,grande,0.75,"mucho mas cerca",0.75,"seguir adelante"
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mucho mas cerca",1.0,evadir
baja,1.0,media,0.75,"mas lejos",0.75,evadir
